Tracking ID,Event Type,Timestamp
2,Entry,2026-08-06 14:37:36
3,Entry,2026-08-06 14:37:36
4,Entry,2026-08-06 14:37:36
5,Entry,2026-08-06 14:37:36
4,Exit,2026-08-06 14:37:55
8,Entry,2026-08-06 14:38:06
10,Entry,2026-08-06 14:38:18
2,Exit,2026-08-06 14:38:26
11,Entry,2026-08-06 14:38:47
13,Entry,2026-08-06 14:38:55
14,Entry,2026-08-06 14:39:02
16,Entry,2026-08-06 14:39:26
10,Exit,2026-08-06 14:39:37
15,Entry,2026-08-06 14:40:11
12,Entry,2026-08-06 14:40:13
19,Entry,2026-08-06 14:40:33
16,Exit,2026-08-06 14:40:38
